time,value
1099,-9488.22
1100,-9478.64
1101,-9502.59
1102,-9490.62
1103,-9493.01
1104,-9493.01
1105,-9497.80
1106,-9481.04
1107,-9502.59
1108,-9502.59
1109,-9476.25
1110,-9471.46
1111,-9497.80
1112,-9502.59
1113,-9488.22
1114,-9502.59
1115,-9502.59
1116,-9483.43
1117,-9488.22
1118,-9507.37
1119,-9476.25
1120,-9481.04
1121,-9512.16
1122,-9495.40
1123,-9485.83
1124,-9497.80
1125,-9483.43
1126,-9478.64
1127,-9488.22
1128,-9497.80
1129,-9469.07
1130,-9481.04
1131,-9500.19
1132,-9485.83
1133,-9481.04
1134,-9507.37
1135,-9502.59
1136,-9483.43
1137,-9497.80
1138,-9497.80
1139,-9478.64
1140,-9490.62
1141,-9497.80
1142,-9481.04
1143,-9473.86
1144,-9514.56
1145,-9504.98
1146,-9481.04
1147,-9500.19
1148,-9516.95
1149,-9488.22
1150,-9493.01
1151,-9512.16
1152,-9493.01
1153,-9488.22
1154,-9504.98
1155,-9490.62
1156,-9469.07
1157,-9516.95
1158,-9516.95
1159,-9495.40
1160,-9490.62
1161,-9516.95
1162,-9500.19
1163,-9488.22
1164,-9504.98
1165,-9490.62
1166,-9483.43
1167,-9497.80
1168,-9507.37
1169,-9481.04
1170,-9485.83
1171,-9504.98
1172,-9495.40
1173,-9481.04
1174,-9493.01
1175,-9509.77
1176,-9478.64
1177,-9483.43
1178,-9504.98
1179,-9500.19
1180,-9514.56
1181,-9514.56
1182,-9495.40
1183,-9483.43
1184,-9495.40
1185,-9509.77
1186,-9488.22
1187,-9490.62
1188,-9490.62
1189,-9490.62
1190,-9473.86
1191,-9490.62
1192,-9507.37
1193,-9483.43
1194,-9483.43
1195,-9504.98
1196,-9490.62
1197,-9481.04
1198,-9495.40
1199,-9495.40
1200,-9485.83
1201,-9500.19
1202,-9509.77
1203,-9493.01
1204,-9490.62
1205,-9512.16
1206,-9488.22
1207,-9481.04
1208,-9497.80
1209,-9507.37
1210,-9481.04
1211,-9488.22
1212,-9500.19
1213,-9483.43
1214,-9488.22
1215,-9497.80
1216,-9488.22
1217,-9488.22
1218,-9500.19
1219,-9504.98
1220,-9481.04
1221,-9483.43
1222,-9504.98
1223,-9488.22
1224,-9485.83
1225,-9509.77
1226,-9509.77
1227,-9493.01
1228,-9495.40
1229,-9500.19
1230,-9478.64
1231,-9483.43
1232,-9497.80
1233,-9490.62
1234,-9481.04
1235,-9507.37
1236,-9502.59
1237,-9466.67
1238,-9478.64
1239,-9502.59
1240,-9485.83
1241,-9481.04
1242,-9495.40
1243,-9493.01
1244,-9478.64
1245,-9500.19
1246,-9507.37
1247,-9483.43
1248,-9493.01
1249,-9504.98
1250,-9485.83
1251,-9478.64
1252,-9500.19
1253,-9507.37
1254,-9490.62
1255,-9495.40
1256,-9507.37
1257,-9495.40
1258,-9481.04
1259,-9504.98
1260,-9497.80
1261,-9481.04
1262,-9502.59
1263,-9502.59
1264,-9483.43
1265,-9488.22
1266,-9502.59
1267,-9493.01
1268,-9478.64
1269,-9502.59
1270,-9500.19
1271,-9473.86
1272,-9493.01
1273,-9512.16
1274,-9490.62
1275,-9488.22
1276,-9509.77
1277,-9495.40
1278,-9478.64
1279,-9490.62
1280,-9497.80
1281,-9485.83
1282,-9504.98
1283,-9504.98
1284,-9490.62
1285,-9490.62
1286,-9507.37
1287,-9504.98
1288,-9476.25
1289,-9483.43
1290,-9500.19
1291,-9485.83
1292,-9478.64
1293,-9500.19
1294,-9488.22
1295,-9473.86
1296,-9488.22
1297,-9490.62
1298,-9473.86
1299,-9502.59
1300,-9509.77
1301,-9483.43
1302,-9478.64
1303,-9497.80
1304,-9504.98
1305,-9478.64
1306,-9495.40
1307,-9504.98
1308,-9485.83
1309,-9478.64
1310,-9500.19
1311,-9478.64
1312,-9481.04
1313,-9500.19
1314,-9493.01
1315,-9473.86
1316,-9490.62
1317,-9483.43
1318,-9483.43
1319,-9478.64
1320,-9502.59
1321,-9500.19
1322,-9488.22
1323,-9490.62
1324,-9493.01
1325,-9473.86
1326,-9495.40
1327,-9490.62
1328,-9490.62
1329,-9490.62
1330,-9514.56
1331,-9502.59
1332,-9485.83
1333,-9502.59
1334,-9500.19
1335,-9481.04
1336,-9493.01
1337,-9507.37
1338,-9497.80
1339,-9483.43
1340,-9490.62
1341,-9497.80
1342,-9481.04
1343,-9495.40
1344,-9504.98
1345,-9471.46
1346,-9493.01
1347,-9509.77
1348,-9493.01
1349,-9483.43
1350,-9495.40
1351,-9512.16
1352,-9497.80
1353,-9490.62
1354,-9509.77
1355,-9490.62
1356,-9483.43
1357,-9507.37
1358,-9497.80
1359,-9488.22
1360,-9500.19
1361,-9497.80
1362,-9469.07
1363,-9488.22
1364,-9504.98
1365,-9495.40
1366,-9473.86
1367,-9495.40
1368,-9469.07
1369,-9469.07
1370,-9488.22
1371,-9502.59
1372,-9490.62
1373,-9485.83
1374,-9497.80
1375,-9495.40
1376,-9490.62
1377,-9497.80
1378,-9497.80
1379,-9478.64
1380,-9490.62
1381,-9509.77
1382,-9488.22
1383,-9471.46
1384,-9497.80
1385,-9493.01
1386,-9473.86
1387,-9493.01
1388,-9493.01
1389,-9483.43
1390,-9502.59
1391,-9512.16
1392,-9488.22
1393,-9476.25
1394,-9502.59
1395,-9504.98
1396,-9481.04
1397,-9497.80
1398,-9509.77
1399,-9485.83
1400,-9490.62
1401,-9493.01
1402,-9469.07
1403,-9473.86
1404,-9502.59
1405,-9502.59
1406,-9483.43
1407,-9497.80
1408,-9509.77
1409,-9481.04
1410,-9483.43
1411,-9500.19
1412,-9481.04
1413,-9490.62
1414,-9509.77
1415,-9493.01
1416,-9471.46
1417,-9504.98
1418,-9507.37
